ID,group,condition,eqtot,emoreact,cogemp,socialskills,age,male,relg,spirit,godimp,asian,raisedrelg,beliefgod,raisedgod,eq1,eq2,eq3,eq4,eq5,eq6,eq7,eq8,eq9,eq10,eq11,eq12,eq13,eq14,eq15,eq16,eq17,eq18,eq19,eq20,eq21,eq22,eq23,eq24,eq25,eq26,eq27,eq28,eq29,eq30,eq31,eq32,eq33,eq34,eq35,eq36,eq37,eq38,eq39,eq40
101,1,1,52,10,15,8,22,0,0,3,2,1,0,0,0,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,0,2,1,2,2,2,1,0,0,2,1,1,1,1,1,1
102,1,1,49,20,11,6,19,NA,1,5,1,1,1,0,1,2,0,1,1,2,1,2,1,1,1,1,2,2,1,0,2,0,2,1,0,2,1,1,2,0,1,1,2,2,1,2,2,2,1,0,1,0,1,2,2
103,1,1,51,18,15,6,19,0,2,7,5,1,1,1,1,1,1,2,2,1,1,1,2,1,2,0,2,1,1,2,2,0,2,2,0,0,1,0,2,2,2,2,2,2,0,2,1,1,2,2,2,0,0,1,1
104,2,1,64,17,21,7,20,0,1,4,4,0,0,1,1,2,2,1,0,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,0,2,0,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,1,1
105,2,1,38,10,13,3,19,0,3,3,4,1,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,1,1,2,1,0,1,1,2,0,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1
106,2,1,35,12,10,6,18,1,5,6,5,1,1,1,1,1,0,1,1,0,2,2,1,0,1,1,1,1,1,1,2,1,1,0,1,2,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
108,3,1,33,11,11,3,22,0,4,4,5,1,1,1,1,0,0,2,0,0,0,2,0,0,2,2,1,1,2,1,2,0,1,0,0,1,2,2,1,1,1,1,2,2,0,0,0,1,0,1,0,0,0,0,2
109,3,1,59,14,19,6,19,0,1,3,1,0,0,0,0,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,0,1,0,2,2,2,1,2,1,2,1,2,1,2,2,1,1,2,0,1
110,4,1,52,14,14,7,18,0,7,7,7,1,1,1,1,1,0,2,1,1,0,2,2,1,2,0,1,2,0,2,2,2,1,2,2,1,1,2,2,0,2,2,0,2,1,1,1,1,2,1,1,1,2,1,2
111,4,1,49,14,14,6,19,0,3,5,1,1,1,0,0,2,1,1,1,2,1,1,1,0,2,1,2,1,1,1,2,1,2,2,2,0,2,0,1,0,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2
112,4,1,49,12,16,6,19,1,2,4,1,1,1,0,0,2,1,1,0,0,2,2,2,2,2,1,2,2,2,0,1,2,1,2,0,1,2,1,2,1,1,1,1,1,0,0,1,1,2,1,2,0,2,1,1
113,5,1,58,18,14,10,22,1,1,3,1,0,1,0,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,0,2,1,2,1,1,2,1,1,2,0,2,2,2,1,1,2,1,1,2,1,2,1,0,2,2
114,5,1,31,7,9,3,19,0,6,5,6,1,1,1,1,1,0,1,1,1,0,1,1,0,2,0,0,0,0,2,1,1,1,2,2,0,1,0,1,2,2,0,1,1,0,1,1,1,1,0,0,0,1,0,1
115,6,1,46,15,9,6,21,1,7,7,7,1,1,1,1,1,0,2,1,1,2,2,1,0,2,0,1,1,2,1,2,1,1,2,2,1,0,1,2,0,1,2,2,0,1,1,1,1,2,1,1,1,0,1,2
116,6,1,64,20,19,11,21,0,3,5,2,0,1,0,1,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2
117,6,1,35,10,9,6,20,0,2,4,2,1,0,0,0,0,1,1,0,1,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,0,0,0,1,1,1,1,1,1,2,1,2
118,7,1,43,13,14,5,18,0,5,7,6,0,1,1,1,2,0,2,1,0,1,1,2,1,2,1,1,1,1,2,2,0,1,2,0,1,0,1,2,0,2,1,2,1,0,1,1,1,2,1,1,0,1,0,2
119,7,1,45,14,10,9,18,0,4,5,5,0,0,1,0,2,0,2,2,0,2,2,2,1,2,1,1,2,0,0,2,0,1,2,0,2,2,1,2,0,0,2,1,1,1,1,0,1,2,0,2,1,0,1,1
120,7,1,33,7,8,8,18,0,6,6,6,1,0,1,1,1,1,1,2,1,0,2,0,2,2,0,1,1,1,2,0,0,0,1,0,2,0,0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,0,1,2
121,8,1,44,15,11,7,20,1,6,7,6,1,1,1,1,1,0,2,2,1,0,2,0,1,2,1,1,1,1,1,1,0,1,2,0,2,2,1,2,0,2,2,1,2,0,1,2,1,0,0,1,1,0,2,2
122,8,1,27,5,8,2,NA,0,1,3,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,2,1,1,0,1,0,0,1,2,2,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1
123,8,1,54,15,18,6,19,0,1,4,2,0,0,1,1,2,0,2,1,2,1,2,2,2,1,2,2,1,2,1,1,0,2,2,0,1,0,2,2,0,2,1,1,2,1,2,1,1,2,1,2,0,2,1,2
124,9,1,43,9,15,6,20,1,1,1,NA,1,NA,0,0,1,1,1,1,1,2,2,2,1,2,2,0,1,1,2,1,1,1,1,0,0,1,0,2,0,1,1,1,2,1,1,0,1,2,2,0,0,1,1,2
125,9,1,30,5,10,3,24,1,5,3,4,1,1,1,1,1,1,1,0,0,2,1,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,0,2,2,2,1,1,1,1,0,0,1,1,1,1,1,2,0,0
126,9,1,49,16,12,11,22,0,2,2,2,0,1,1,1,1,1,2,2,0,1,2,2,1,2,1,2,1,1,0,2,2,1,0,0,2,1,1,2,0,1,2,2,1,0,1,1,1,1,1,2,2,2,1,1
128,10,0,59,22,15,9,19,1,4,4,3,1,1,1,1,1,0,2,1,2,0,2,2,0,2,2,2,2,2,2,2,1,2,1,0,2,2,2,2,0,1,2,2,1,1,2,2,2,2,0,2,2,0,2,2
129,10,0,56,20,12,9,18,0,4,6,4,0,0,1,0,1,2,2,2,1,1,2,2,2,2,0,2,2,1,1,2,1,2,2,1,0,0,1,2,1,2,2,1,2,0,2,1,2,2,0,2,1,1,2,1
130,10,0,58,12,20,8,20,0,7,6,7,1,1,1,1,2,2,1,1,2,0,2,1,2,1,2,0,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,0,1
131,11,0,44,12,12,7,18,0,5,5,5,1,1,0,0,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,0,1,1,0,1,1,0,2,0,1,1,1,2,2,0,1,1,1,1,0,1,1,1,2
132,11,0,44,11,13,7,29,0,1,2,1,0,1,0,0,1,1,1,1,1,2,2,2,1,2,2,2,1,0,2,1,1,1,1,1,1,1,1,2,0,2,0,1,1,0,1,1,1,1,1,1,0,1,1,1
133,11,0,34,7,9,5,29,1,2,4,3,0,1,1,1,2,1,1,0,1,0,2,1,1,2,0,1,0,1,1,1,0,1,2,2,0,0,0,2,0,1,1,1,1,1,0,0,1,2,1,0,1,0,0,2
134,12,0,54,13,16,10,21,0,4,6,4,0,0,1,0,2,1,1,2,0,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,1,0,2,0,2,2,1,2,2,1,0,1,1,1,2,1,1,1,1
135,12,0,48,9,14,6,19,0,1,4,4,1,0,0,0,1,1,1,0,2,2,2,2,1,2,0,1,1,2,2,0,2,1,2,1,0,2,0,2,1,1,1,1,2,2,0,1,1,0,1,1,1,2,1,2
136,12,0,32,4,10,6,19,0,5,5,5,1,1,1,1,2,1,1,1,2,0,2,1,0,2,0,0,0,1,2,1,1,0,1,2,0,0,0,1,1,1,0,0,1,1,0,1,1,2,1,0,1,0,0,1
137,13,0,34,11,12,4,19,1,1,2,2,1,0,1,0,2,0,1,1,0,0,2,1,0,2,0,0,1,1,1,1,0,2,0,2,0,0,0,2,0,1,1,2,2,0,1,1,1,1,0,2,0,2,0,1
138,13,0,41,8,15,7,19,0,1,2,1,1,0,0,0,2,1,1,1,1,0,2,1,1,2,1,0,1,2,1,1,0,1,1,1,0,1,0,2,0,1,1,1,1,1,1,0,1,1,1,2,2,2,0,2
139,13,0,33,12,10,2,20,0,3,3,3,1,0,0,0,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
140,14,0,58,21,14,10,20,0,3,5,4,1,0,1,1,2,2,2,1,1,0,2,2,1,2,1,2,2,1,1,2,0,2,2,1,2,0,1,2,0,1,2,2,2,1,2,1,2,2,0,2,1,2,2,2
141,14,0,51,11,16,5,20,0,1,2,1,1,1,0,1,1,1,1,0,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,0,2,1,2,1,2,1,2,1,2,1,0,1,2,1,1,1,2,1,2
142,14,0,39,7,12,7,21,0,1,2,2,1,1,1,1,2,1,1,1,2,0,2,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,0,2,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,2
143,15,0,31,10,6,7,21,0,1,1,1,0,0,0,1,1,0,1,2,0,2,2,2,0,2,0,1,0,0,0,1,1,1,1,0,1,0,0,2,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0
144,15,0,39,13,9,5,19,0,6,5,6,1,1,1,1,1,0,1,1,1,0,2,1,0,0,0,1,1,1,0,2,1,1,2,2,0,0,0,2,1,1,2,1,1,2,1,1,1,2,1,2,1,0,1,1
145,15,0,30,7,9,4,23,0,4,3,7,0,1,1,0,2,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,2,1,0,1,0,1,2,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1
146,16,0,39,10,10,6,19,1,1,1,1,1,1,0,1,0,1,1,1,0,2,1,2,1,2,1,1,1,1,1,2,2,1,0,0,1,2,2,2,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0
147,16,0,55,16,17,7,21,0,5,6,6,0,1,1,1,2,1,2,1,2,0,2,1,1,1,0,1,2,1,1,2,1,2,2,2,2,1,0,2,1,2,1,1,2,2,2,1,2,2,2,2,0,2,0,1
148,16,0,48,17,15,6,20,0,2,5,2,0,0,0,0,0,0,1,1,2,0,2,2,0,2,2,2,1,0,1,2,1,2,1,0,0,2,0,2,1,2,2,2,2,0,2,1,1,1,1,2,1,2,1,1
149,17,0,57,17,18,10,19,0,5,5,6,1,1,1,1,2,2,2,2,2,2,1,2,1,2,0,1,1,1,2,2,0,2,0,0,1,2,0,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1
150,17,0,53,16,17,7,20,0,1,4,1,0,1,0,1,1,1,2,2,0,2,2,0,0,2,1,2,2,2,2,1,2,2,2,0,2,0,0,2,1,2,1,0,2,0,2,1,1,1,2,2,0,2,2,2
151,17,0,33,5,12,4,20,0,5,5,5,1,1,1,1,1,0,1,0,1,1,2,1,1,2,1,0,0,1,2,1,1,0,1,0,0,1,1,2,0,2,1,1,0,1,1,0,0,2,0,1,1,1,0,1
152,18,0,41,12,13,8,21,0,1,3,1,0,0,0,0,2,1,2,1,0,0,2,1,1,0,1,1,1,1,1,1,0,1,2,0,2,1,0,2,0,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
